IDENTIFICACION,DESCRIPCION,,,Niv1,Niv2,Niv3,Niv4,Num,Con,Des1,Des2,Des3,Des4,Des5,Des6,Des7,Des8,Des9,Des10,Des11,Des12,Des13,,,Des14,Descripción,,,AFORO INICIAL,,MODIFICACIONES AFORO,AFORO VIGENTE,RECAUDO EN EFECTIVO MES,,,,RECAUDO EN EFECTIVO ACUMULADO,DEVOLUCIONES PAGADAS ACUMULADAS,RECAUDO EN EFECTIVO ACUMULADO NETO,SALDO DE AFORO POR RECAUDAR
,,,,3,1,2,9,5,3,,,,,,,,,,,,,,,,,OTROS INGRESOS,,,"0,00",,"0,00","0,00","140.543.776,86",,,,"1.333.755.941,81","491.226,14","1.333.264.715,67","-1.333.264.715,67"
,,,,3,1,2,9,5,3,1,,,,,,,,,,,,,,,,RECUPERACIONES,,,"0,00",,"0,00","0,00","0,00",,,,"1.202.900,00","0,00","1.202.900,00","-1.202.900,00"
,,,,3,1,2,9,5,3,2,,,,,,,,,,,,,,,,APROVECHAMIENTOS,,,"0,00",,"0,00","0,00","140.543.776,86",,,,"1.332.553.041,81","491.226,14","1.332.061.815,67","-1.332.061.815,67"
,,,,3,2,,,,,,,,,,,,,,,,,,,,,B-RECURSOS DE CAPITAL,,,"362.073.655,00",,"0,00","362.073.655,00","12.957,92",,,,"1.792.488,86","0,00","1.792.488,86","360.281.166,14"
,,,,3,2,3,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"354.895.315,00",,"0,00","354.895.315,00","12.957,92",,,,"148.388,86","0,00","148.388,86","354.746.926,14"
,,,,3,2,3,0,3,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS CUENTAS BANCARIAS,,,"0,00",,"0,00","0,00","12.957,92",,,,"148.388,86","0,00","148.388,86","-148.388,86"
,,,,3,2,3,0,8,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS CUN,,,"354.895.315,00",,"0,00","354.895.315,00","0,00",,,,"0,00","0,00","0,00","354.895.315,00"
,,,,3,2,5,1,,,,,,,,,,,,,,,,,,,VENTA DE ACTIVOS,,,"7.178.340,00",,"0,00","7.178.340,00","0,00",,,,"1.644.100,00","0,00","1.644.100,00","5.534.240,00"
,,,,3,2,5,1,1,,,,,,,,,,,,,,,,,,VENTA DE MUEBLES,,,"0,00",,"0,00","0,00","0,00",,,,"1.644.100,00","0,00","1.644.100,00","-1.644.100,00"
,,,,3,2,5,1,2,,,,,,,,,,,,,,,,,,VENTA DE INMUEBLES,,,"7.178.340,00",,"0,00","7.178.340,00","0,00",,,,"0,00","0,00","0,00","7.178.340,00"
12-10-00,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURIDICA DEL ESTADO,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"2.145.647,00","0,00","2.145.647,00","-2.145.647,00"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","0,00",,,,"1.033.663,00","0,00","1.033.663,00","-1.033.663,00"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"1.111.984,00","0,00","1.111.984,00","-1.111.984,00"
12-11-00,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,1,0,2,2,,,,,,,,,,,,,,,,,MULTAS,,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,1,2,1,0,2,2,5,,,,,,,,,,,,,,,,OTRAS MULTAS,,,"0,00",,"0,00","0,00","33.331.041,00",,,,"230.411.305,40","0,00","230.411.305,40","-230.411.305,40"
,,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","492.170.648,89",,,,"47.218.479.158,66","0,00","47.218.479.158,66","-47.218.479.158,66"
,,,,2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","467.857.746,89",,,,"1.944.853.090,55","0,00","1.944.853.090,55","-1.944.853.090,55"
,,,,2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","467.857.746,89",,,,"1.944.853.090,55","0,00","1.944.853.090,55","-1.944.853.090,55"
,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","467.857.746,89",,,,"1.944.853.090,55","0,00","1.944.853.090,55","-1.944.853.090,55"
,,,,2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","467.857.746,89",,,,"1.944.853.090,55","0,00","1.944.853.090,55","-1.944.853.090,55"
,,,,2,4,0,0,1,1,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,,,"0,00",,"0,00","0,00","467.857.746,89",,,,"1.944.853.090,55","0,00","1.944.853.090,55","-1.944.853.090,55"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","24.312.902,00",,,,"45.273.626.068,11","0,00","45.273.626.068,11","-45.273.626.068,11"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","24.312.902,00",,,,"45.273.626.068,11","0,00","45.273.626.068,11","-45.273.626.068,11"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","24.312.902,00",,,,"45.273.626.068,11","0,00","45.273.626.068,11","-45.273.626.068,11"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","24.312.902,00",,,,"45.273.626.068,11","0,00","45.273.626.068,11","-45.273.626.068,11"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","16.950,00",,,,"564.850,00","0,00","564.850,00","-564.850,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","24.295.952,00",,,,"45.273.061.218,11","0,00","45.273.061.218,11","-45.273.061.218,11"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","23.673.148,00",,,,"34.512.015,00","0,00","34.512.015,00","-34.512.015,00"
,,,,2,8,0,0,1,9,3,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,,,"0,00",,"0,00","0,00","0,00",,,,"45.237.926.399,11","0,00","45.237.926.399,11","-45.237.926.399,11"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","622.804,00",,,,"622.804,00","0,00","622.804,00","-622.804,00"
,,,,6,,,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"357.939.873.646,00",,"-29.603.146.845,00","328.336.726.801,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","119.350.182.912,12"
,,,,6,0,,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"357.939.873.646,00",,"-29.603.146.845,00","328.336.726.801,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","119.350.182.912,12"
,,,,6,0,0,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"357.939.873.646,00",,"-29.603.146.845,00","328.336.726.801,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","119.350.182.912,12"
,,,,6,0,0,0,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"0,00",,"0,00","0,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","-208.986.543.888,88"
,,,,6,0,0,0,67,,,,,,,,,,,,,,,,,,"FONDO DE MODERNIZACION, DESCONGESTION Y BIENESTAR DE LA ADMINISTRACIÓN DE   JUSTICIA",,,"42.939.873.646,00",,"0,00","42.939.873.646,00","0,00",,,,"0,00","0,00","0,00","42.939.873.646,00"
,,,,6,0,0,0,9,,,,,,,,,,,,,,,,,,FINANCIACION SECTOR JUSTICIA,,,"315.000.000.000,00",,"-29.603.146.845,00","285.396.853.155,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","76.410.309.266,12"
,,,,6,0,0,0,9,8,,,,,,,,,,,,,,,,,RECAUDO LEY 55 DE 1985 SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,,,"0,00",,"0,00","0,00","151.075.928.134,00",,,,"208.986.543.888,88","0,00","208.986.543.888,88","-208.986.543.888,88"
13-01-01,MINISTERIO DE HACIENDA Y CREDITO PUBLICO - GESTION GENERAL,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","16.491.553,38",,,,"391.720.713,15","212.517.535,00","179.203.178,15","-179.203.178,15"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","16.491.553,38",,,,"391.720.713,15","212.517.535,00","179.203.178,15","-179.203.178,15"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","16.491.553,38",,,,"391.720.713,15","212.517.535,00","179.203.178,15","-179.203.178,15"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","16.491.553,38",,,,"391.720.713,15","212.517.535,00","179.203.178,15","-179.203.178,15"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","16.491.553,38",,,,"391.720.713,15","212.517.535,00","179.203.178,15","-179.203.178,15"
,,,,1,2,1,0,2,1,,,,,,,,,,,,,,,,,TASAS,,,"0,00",,"0,00","0,00","14.087.763,38",,,,"144.984.269,71","0,00","144.984.269,71","-144.984.269,71"
,,,,1,2,1,0,2,1,3,,,,,,,,,,,,,,,,CREDENCIALES Y CARNETS,,,"0,00",,"0,00","0,00","1.496.622,38",,,,"5.436.138,71","0,00","5.436.138,71","-5.436.138,71"
,,,,1,2,1,0,2,1,6,,,,,,,,,,,,,,,,ARRENDAMIENTOS,,,"0,00",,"0,00","0,00","12.591.141,00",,,,"139.548.131,00","0,00","139.548.131,00","-139.548.131,00"
,,,,1,2,1,0,2,2,,,,,,,,,,,,,,,,,MULTAS,,,"0,00",,"0,00","0,00","2.403.790,00",,,,"246.736.443,44","212.517.535,00","34.218.908,44","-34.218.908,44"
,,,,1,2,1,0,2,2,3,,,,,,,,,,,,,,,,MULTAS SUPERINTENDENCIAS,,,"0,00",,"0,00","0,00","0,00",,,,"212.517.535,00","212.517.535,00","0,00","0,00"
,,,,1,2,1,0,2,2,5,,,,,,,,,,,,,,,,OTRAS MULTAS,,,"0,00",,"0,00","0,00","2.403.790,00",,,,"34.218.908,44","0,00","34.218.908,44","-34.218.908,44"
,,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","358.007.140.068,24",,,,"5.065.502.720.458,00","748.337,00","5.065.501.972.121,00","-5.065.501.972.121,00"
,,,,2,1,,,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,1,0,,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,1,0,0,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,1,0,0,1,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,1,0,0,1,3,,,,,,,,,,,,,,,,,VENTA DE INVERSIONES,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,1,0,0,1,3,1,,,,,,,,,,,,,,,,INVERSIONES PATRIMONIALES NO CONTROLANTES,,,"0,00",,"0,00","0,00","0,00",,,,"27.537.744.925,00","0,00","27.537.744.925,00","-27.537.744.925,00"
,,,,2,2,,,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,,,"0,00",,"0,00","0,00","351.593.301.810,26",,,,"4.972.495.070.215,32","0,00","4.972.495.070.215,32","-4.972.495.070.215,32"
,,,,2,2,0,,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,,,"0,00",,"0,00","0,00","351.593.301.810,26",,,,"4.972.495.070.215,32","0,00","4.972.495.070.215,32","-4.972.495.070.215,32"
,,,,2,2,0,0,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,,,"0,00",,"0,00","0,00","351.593.301.810,26",,,,"4.972.495.070.215,32","0,00","4.972.495.070.215,32","-4.972.495.070.215,32"
,,,,2,2,0,0,1,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,,,"0,00",,"0,00","0,00","351.593.301.810,26",,,,"4.972.495.070.215,32","0,00","4.972.495.070.215,32","-4.972.495.070.215,32"
,,,,2,2,0,0,1,1,,,,,,,,,,,,,,,,,ESTAPUBLICOS,,,"0,00",,"0,00","0,00","197.266.237.779,26",,,,"400.000.000.000,26","0,00","400.000.000.000,26","-400.000.000.000,26"
,,,,2,2,0,0,1,4,,,,,,,,,,,,,,,,,BANCO DE LA REPUBLICA,,,"0,00",,"0,00","0,00","0,00",,,,"761.022.518.892,87","0,00","761.022.518.892,87","-761.022.518.892,87"
,,,,2,2,0,0,1,5,,,,,,,,,,,,,,,,,DIVIDENDOS Y PARTICIPACIONES,,,"0,00",,"0,00","0,00","154.327.064.031,00",,,,"3.811.472.551.322,19","0,00","3.811.472.551.322,19","-3.811.472.551.322,19"
,,,,2,2,0,0,1,5,1,,,,,,,,,,,,,,,,INVERSIONES PATRIMONIALES EN NO CONTROLADAS,,,"0,00",,"0,00","0,00","0,00",,,,"710.009.200,52","0,00","710.009.200,52","-710.009.200,52"
,,,,2,2,0,0,1,5,4,,,,,,,,,,,,,,,,INVERSIONES EN ENTIDADES CONTROLADAS-SOCIEDADES DE ECONOMIA MIXTA,,,"0,00",,"0,00","0,00","154.327.064.031,00",,,,"3.810.762.542.121,67","0,00","3.810.762.542.121,67","-3.810.762.542.121,67"
,,,,2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","912.738.416,62",,,,"12.407.837.229,09","0,00","12.407.837.229,09","-12.407.837.229,09"
,,,,2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","912.738.416,62",,,,"12.407.837.229,09","0,00","12.407.837.229,09","-12.407.837.229,09"
,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","912.738.416,62",,,,"12.407.837.229,09","0,00","12.407.837.229,09","-12.407.837.229,09"
,,,,2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","912.738.416,62",,,,"12.407.837.229,09","0,00","12.407.837.229,09","-12.407.837.229,09"
,,,,2,4,0,0,1,1,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,,,"0,00",,"0,00","0,00","558.075.111,88",,,,"7.557.611.163,59","0,00","7.557.611.163,59","-7.557.611.163,59"
,,,,2,4,0,0,1,6,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS GENERADOS POR FONDOS,,,"0,00",,"0,00","0,00","354.663.304,74",,,,"4.850.226.065,50","0,00","4.850.226.065,50","-4.850.226.065,50"
,,,,2,7,,,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"12.446.000.000,00","0,00","12.446.000.000,00","-12.446.000.000,00"
,,,,2,7,0,,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"12.446.000.000,00","0,00","12.446.000.000,00","-12.446.000.000,00"
,,,,2,7,0,0,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"12.446.000.000,00","0,00","12.446.000.000,00","-12.446.000.000,00"
,,,,2,7,0,0,1,,,,,,,,,,,,,,,,,,OTROS ,,,"0,00",,"0,00","0,00","0,00",,,,"12.446.000.000,00","0,00","12.446.000.000,00","-12.446.000.000,00"
,,,,2,7,0,0,1,2,,,,,,,,,,,,,,,,,FRISCO,,,"0,00",,"0,00","0,00","0,00",,,,"12.446.000.000,00","0,00","12.446.000.000,00","-12.446.000.000,00"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","3.855.307.804,38",,,,"37.866.603.757,96","748.337,00","37.865.855.420,96","-37.865.855.420,96"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","3.855.307.804,38",,,,"37.866.603.757,96","748.337,00","37.865.855.420,96","-37.865.855.420,96"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","3.855.307.804,38",,,,"37.866.603.757,96","748.337,00","37.865.855.420,96","-37.865.855.420,96"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","3.855.307.804,38",,,,"37.866.603.757,96","748.337,00","37.865.855.420,96","-37.865.855.420,96"
,,,,2,8,0,0,1,15,,,,,,,,,,,,,,,,,INTERESES CORRIENTES ,,,"0,00",,"0,00","0,00","0,00",,,,"16.222.845,26","0,00","16.222.845,26","-16.222.845,26"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","8.216,00",,,,"907.085,00","0,00","907.085,00","-907.085,00"
,,,,2,8,0,0,1,4,,,,,,,,,,,,,,,,,INDEMNIZACIONES,,,"0,00",,"0,00","0,00","4.369.000,00",,,,"4.369.000,00","0,00","4.369.000,00","-4.369.000,00"
,,,,2,8,0,0,1,5,,,,,,,,,,,,,,,,,INTERES DE MORA,,,"0,00",,"0,00","0,00","6.785.691,73",,,,"32.745.341,81","0,00","32.745.341,81","-32.745.341,81"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","3.844.144.896,65",,,,"37.812.359.485,89","748.337,00","37.811.611.148,89","-37.811.611.148,89"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","3.844.144.896,65",,,,"36.941.204.649,58","0,00","36.941.204.649,58","-36.941.204.649,58"
,,,,2,8,0,0,1,9,3,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,,,"0,00",,"0,00","0,00","0,00",,,,"788.809.189,31","0,00","788.809.189,31","-788.809.189,31"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"82.345.647,00","748.337,00","81.597.310,00","-81.597.310,00"
,,,,2,9,,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","1.645.792.036,98",,,,"2.749.464.330,63","0,00","2.749.464.330,63","-2.749.464.330,63"
,,,,2,9,0,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","1.645.792.036,98",,,,"2.749.464.330,63","0,00","2.749.464.330,63","-2.749.464.330,63"
,,,,2,9,0,0,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","1.645.792.036,98",,,,"2.749.464.330,63","0,00","2.749.464.330,63","-2.749.464.330,63"
,,,,2,9,0,0,1,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","1.645.792.036,98",,,,"2.749.464.330,63","0,00","2.749.464.330,63","-2.749.464.330,63"
,,,,2,9,0,0,1,5,,,,,,,,,,,,,,,,,RECUPERACIONES,,,"0,00",,"0,00","0,00","0,00",,,,"1.076.784.818,65","0,00","1.076.784.818,65","-1.076.784.818,65"
,,,,2,9,0,0,1,9,,,,,,,,,,,,,,,,,RECUPERACION DE MESADAS PENSIONALES,,,"0,00",,"0,00","0,00","1.645.792.036,98",,,,"1.672.679.511,98","0,00","1.672.679.511,98","-1.672.679.511,98"
,,,,6,,,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
,,,,6,0,,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
,,,,6,0,0,,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
,,,,6,0,0,0,,,,,,,,,,,,,,,,,,,FONDOS ESPECIALES,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
,,,,6,0,0,0,41,,,,,,,,,,,,,,,,,,FONDO SUBSIDIO SOBRETASA GASOLINA,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
,,,,6,0,0,0,41,1,,,,,,,,,,,,,,,,,SOBRETASA A LA GASOLINA,,,"0,00",,"0,00","0,00","0,00",,,,"29.581.000,00","0,00","29.581.000,00","-29.581.000,00"
13-01-13,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","7.763.627.521.894,03",,,,"131.943.273.161.295,97","590.305.845.423,00","131.352.967.315.872,97","-131.352.967.315.872,97"
,,,,1,1,,,,,,,,,,,,,,,,,,,,,INGRESOS TRIBUTARIOS,,,"0,00",,"0,00","0,00","7.763.121.019.579,00",,,,"131.934.907.972.252,00","590.280.506.230,00","131.344.627.466.022,00","-131.344.627.466.022,00"
,,,,1,1,1,,,,,,,,,,,,,,,,,,,,IMPUESTOS DIRECTOS,,,"0,00",,"0,00","0,00","3.913.894.304.538,00",,,,"61.145.162.832.303,00","144.357.421.256,00","61.000.805.411.047,00","-61.000.805.411.047,00"
,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,IMPUESTOS DIRECTOS,,,"0,00",,"0,00","0,00","3.913.894.304.538,00",,,,"61.145.162.832.303,00","144.357.421.256,00","61.000.805.411.047,00","-61.000.805.411.047,00"
,,,,1,1,1,0,1,,,,,,,,,,,,,,,,,,IMPUESTOS SOBRE LA RENTA Y COMPLEMENTARIOS,,,"0,00",,"0,00","0,00","3.905.596.975.260,00",,,,"60.632.426.961.380,00","144.130.818.256,00","60.488.296.143.124,00","-60.488.296.143.124,00"
,,,,1,1,1,0,1,1,,,,,,,,,,,,,,,,,CUOTA  IMPUESTO DE RENTA Y COMPLEMENTARIOS   ,,,"0,00",,"0,00","0,00","132.005.309.428,00",,,,"17.119.029.357.255,00","134.584.378.086,00","16.984.444.979.169,00","-16.984.444.979.169,00"
,,,,1,1,1,0,1,2,,,,,,,,,,,,,,,,,RETENCIONES IMPUESTO SOBRE LA RENTA Y COMPLEMENTARIOS,,,"0,00",,"0,00","0,00","3.773.591.665.832,00",,,,"43.513.397.604.125,00","9.546.440.170,00","43.503.851.163.955,00","-43.503.851.163.955,00"
